	size	cluster.LR	pvalue	FDR
8805	3	9.1397002300336	0.0103595123365862	0.861606242953934
7875	4	11.2645307259993	0.0103781720715953	0.861606242953934
21005	12	24.5832268146497	0.0104863477879234	0.861606242953934
6471	6	14.9436147630094	0.0106059998650794	0.861606242953934
12452	7	16.6375445559155	0.0107118145613693	0.861606242953934
28539	2	6.51118431875141	0.0107198089466275	0.861606242953934
18670	4	11.1934321894597	0.0107246034175163	0.861606242953934
34240	2	6.51004263062499	0.0107266936439072	0.861606242953934
9046	3	9.05426739685341	0.0108116210691914	0.861606242953934
2163	3	9.05372665526892	0.0108145446109477	0.861606242953934
14006	10	21.4272918036591	0.0108825149301652	0.861606242953934
32451	3	9.03443720097766	0.0109193525524822	0.861606242953934
24809	2	6.47579632791262	0.0109353307332578	0.861606242953934
23147	14	27.4021954927666	0.0109539861696472	0.861606242953934
7742	2	6.44711678837033	0.0111132548021299	0.861606242953934
12917	5	13.0311932377971	0.011124379715001	0.861606242953934
34360	2	6.43978950165003	0.0111591868890116	0.861606242953934
14326	15	28.7887145550296	0.011159835432186	0.861606242953934
394	2	6.43290643812418	0.0112025117500973	0.861606242953934
25200	3	8.98225423273703	0.0112080039629132	0.861606242953934
10417	4	11.0967176139873	0.0112142194233656	0.861606242953934
6636	5	12.9803749351542	0.0113720846521319	0.861606242953934
760	5	12.9789402060874	0.0113791555785386	0.861606242953934
13371	13	25.8204932424862	0.0113792311267324	0.861606242953934
15890	2	6.40489970577068	0.0113805855058335	0.861606242953934
19576	2	6.40138543482791	0.0114031343381184	0.861606242953934
20531	3	8.92734437888387	0.0115199819628328	0.861606242953934
9437	2	6.38213259635562	0.0115274838618782	0.861606242953934
25110	2	6.35973546941678	0.0116738946994338	0.861606242953934
9201	5	12.9181450444119	0.0116827551589625	0.861606242953934
36827	3	8.89552588920933	0.0117047218156577	0.861606242953934
24127	5	12.9115472839531	0.011716174871809	0.861606242953934
23191	3	8.89061039413687	0.0117335244471622	0.861606242953934
19566	2	6.34481711940527	0.0117724745818647	0.861606242953934
15760	3	8.87526875202691	0.0118238763069788	0.861606242953934
14037	4	10.9736197633955	0.0118693821051434	0.861606242953934
1012	4	10.9700170343125	0.0118891145514879	0.861606242953934
28423	4	10.9599677378689	0.0119443264164008	0.861606242953934
4240	4	10.9551551418798	0.0119708567235749	0.861606242953934
7512	2	6.29905324878048	0.0120802473537149	0.861606242953934
32394	2	6.28481189805819	0.0121777002381368	0.861606242953934
15157	2	6.25172302680688	0.0124072559932673	0.861606242953934
11443	3	8.77471788222697	0.0124335235633835	0.861606242953934
20023	3	8.76957592248194	0.0124655310298548	0.861606242953934
28682	2	6.24252751320379	0.0124718363541837	0.861606242953934
15273	3	8.7624803889308	0.0125098343691708	0.861606242953934
31521	5	12.7546893699898	0.0125387565183933	0.861606242953934
11992	10	21.0165334414079	0.0125772125713805	0.861606242953934
13985	2	6.21716546556283	0.0126517507022687	0.861606242953934
10210	2	6.20670032600299	0.0127267640100546	0.861606242953934
805	3	8.71854323065118	0.0127876986218365	0.861606242953934
29608	3	8.69989033276637	0.0129075203270992	0.861606242953934
2391	3	8.6941913744949	0.0129443524882811	0.861606242953934
26462	3	8.68830493057383	0.0129825067114204	0.861606242953934
29361	2	6.16146219246934	0.0130563235936553	0.861606242953934
23278	7	16.1315438418374	0.0130650657964416	0.861606242953934
35993	2	6.15972377171736	0.013069161610925	0.861606242953934
7750	2	6.15702675646241	0.0130891044159327	0.861606242953934
19200	2	6.15493975081373	0.0131045580357694	0.861606242953934
23075	4	10.7438421509795	0.0131948116902837	0.861606242953934
26695	2	6.13797513015789	0.0132308737358675	0.861606242953934
6476	3	8.64733445244211	0.0132511991836197	0.861606242953934
13650	3	8.64692089289657	0.0132539395468919	0.861606242953934
22159	3	8.63938700708663	0.0133039605343837	0.861606242953934
16345	5	12.613023371012	0.0133298989796044	0.861606242953934
4465	3	8.62965120702553	0.0133688807686826	0.861606242953934
32581	3	8.62538426135387	0.0133974333599066	0.861606242953934
9949	7	16.0322847091569	0.0135817277029823	0.861606242953934
30653	2	6.08742976451562	0.0136146999006585	0.861606242953934
25512	3	8.59303576413969	0.0136158886907616	0.861606242953934
23888	4	10.6684722927416	0.0136605401140903	0.861606242953934
10116	3	8.5844847978044	0.0136742278187827	0.861606242953934
37125	2	6.0779873931044	0.0136876624203085	0.861606242953934
19308	4	10.6582175334154	0.0137251452019751	0.861606242953934
31970	2	6.06277444440018	0.0138060620935463	0.861606242953934
16954	7	15.9618468382404	0.0139602226837502	0.861606242953934
1421	5	12.5046133922036	0.013967988365017	0.861606242953934
36203	2	6.03797933965287	0.0140013008705575	0.861606242953934
8975	2	6.03735568591114	0.0140062480328968	0.861606242953934
13005	2	6.03629134848658	0.0140146950932186	0.861606242953934
25465	2	6.0343301240476	0.0140302739826328	0.861606242953934
34355	3	8.51885308283	0.0141304032882581	0.861606242953934
15619	3	8.50888526524514	0.0142010037163552	0.861606242953934
7267	4	10.5832167779438	0.0142068862218049	0.861606242953934
28662	2	6.00639002490104	0.0142541601143076	0.861606242953934
11086	3	8.48565173683133	0.0143669353563733	0.861606242953934
35712	2	5.98878788961652	0.0143970920129676	0.861606242953934
11976	3	8.47887077772316	0.0144157288268445	0.861606242953934
28317	2	5.98330921270159	0.0144418800371507	0.861606242953934
34298	2	5.97469620475878	0.0145125812839646	0.861606242953934
37173	2	5.97144443545706	0.0145393665094438	0.861606242953934
16761	3	8.45093980945943	0.014618463810101	0.861606242953934
28360	2	5.96180073083209	0.0146191025465796	0.861606242953934
14272	3	8.44391857700271	0.0146698738139835	0.861606242953934
31393	2	5.95374221994749	0.0146860770837989	0.861606242953934
30363	2	5.94989990905861	0.0147181217835269	0.861606242953934
11711	3	8.43090131745215	0.0147656659912331	0.861606242953934
10910	3	8.41558800991911	0.0148791555038755	0.861606242953934
9070	6	14.1170130427837	0.014882971657425	0.861606242953934
3206	4	10.4774925872229	0.0149143577635235	0.861606242953934
37427	2	5.92379648002174	0.0149377377107115	0.861606242953934
31785	2	5.91345694482811	0.0150256577420717	0.861606242953934
33869	2	5.91167450703824	0.015040868089788	0.861606242953934
37297	2	5.89939280700418	0.015146105368566	0.861606242953934
25157	2	5.89081983320875	0.015220013146026	0.861606242953934
24918	2	5.87660320800794	0.0153433947680889	0.861606242953934
35821	2	5.87301939072805	0.0153746598796285	0.861606242953934
26453	2	5.87159559122777	0.0153870992715519	0.861606242953934
21700	3	8.33687639291183	0.0154764123741608	0.861606242953934
3372	6	14.0101606173096	0.0155450031729624	0.861606242953934
27165	2	5.85227420715155	0.0155569342836287	0.861606242953934
15753	24	39.951076739397	0.0155642506668817	0.861606242953934
20836	2	5.84957358241993	0.0155808261539119	0.861606242953934
8916	3	8.31051829357214	0.0156817267339232	0.861606242953934
2665	2	5.8264230427149	0.0157871918210137	0.861606242953934
24354	2	5.81566179779954	0.0158840752828496	0.861606242953934
28213	3	8.28159356591719	0.0159101695008538	0.861606242953934
757	5	12.1919340415173	0.0159796311107503	0.861606242953934
29732	2	5.80445876967199	0.0159855872926321	0.861606242953934
11082	5	12.1752945231807	0.0160942403199016	0.861606242953934
30016	2	5.78085980556812	0.016201614099084	0.861606242953934
26340	3	8.22980186254392	0.0163275578797104	0.861606242953934
19431	2	5.76657695222518	0.0163338202173224	0.861606242953934
10917	6	13.8813611619393	0.0163808497639737	0.861606242953934
26753	2	5.75407875364544	0.0164504194254813	0.861606242953934
7643	2	5.74345198975084	0.016550234469142	0.861606242953934
8755	2	5.743428352976	0.0165504571793106	0.861606242953934
1809	7	15.5191592658854	0.0165812539388504	0.861606242953934
13710	2	5.73252971200178	0.0166534761939487	0.861606242953934
17332	3	8.17774197599011	0.0167581430267215	0.861606242953934
30615	2	5.72118321173108	0.0167614314032354	0.861606242953934
29992	2	5.71297569264481	0.0168399707461031	0.861606242953934
9138	6	13.8068104575332	0.0168842884538818	0.861606242953934
26777	3	8.16003793154292	0.0169071449926165	0.861606242953934
1499	2	5.70344558263018	0.0169316426785928	0.861606242953934
7984	9	18.6245581506413	0.0170017256830522	0.861606242953934
18694	2	5.69473361848583	0.0170158950853014	0.861606242953934
7874	2	5.68916379742615	0.0170699867148288	0.861606242953934
28517	2	5.67463805411922	0.0172118904648488	0.861606242953934
12089	2	5.66890542719724	0.0172682276316726	0.861606242953934
18058	2	5.66809660959075	0.0172761915572996	0.861606242953934
16675	2	5.66365926201726	0.0173199508480459	0.861606242953934
23188	7	15.3834413997055	0.0174751414036026	0.861606242953934
34199	2	5.62858387729213	0.0176699006375751	0.861606242953934
16439	2	5.62720259211526	0.0176838302494694	0.861606242953934
6228	2	5.6233720733363	0.0177225185612195	0.861606242953934
23617	2	5.62066684352206	0.0177498940632804	0.861606242953934
26178	2	5.61410181217175	0.0178165103737637	0.861606242953934
28818	3	8.04657499964371	0.0178940414789642	0.861606242953934
34870	2	5.60415551124961	0.0179179290169601	0.861606242953934
25370	2	5.59310652495002	0.0180312903910914	0.861606242953934
8716	5	11.9072447234626	0.018054512331029	0.861606242953934
18319	7	15.2951446631503	0.0180812748820807	0.861606242953934
8859	2	5.58553890242874	0.0181093604136222	0.861606242953934
1396	3	8.02121109994047	0.0181224178838585	0.861606242953934
28951	3	8.01866905727547	0.018145466508129	0.861606242953934
27759	2	5.57611760699224	0.0182070415011471	0.861606242953934
37073	3	8.01122011756179	0.0182131747615825	0.861606242953934
13363	6	13.6195650562931	0.0182154122792157	0.861606242953934
8010	2	5.5613462645712	0.0183612891443305	0.861606242953934
9530	4	10.0212236228119	0.0183865857273586	0.861606242953934
17906	2	5.55558139021177	0.0184218535773086	0.861606242953934
37702	3	7.97571933951928	0.0185393520213557	0.861606242953934
29295	4	9.99567471387266	0.0186029377842224	0.861606242953934
31426	2	5.53362971860129	0.0186543679030177	0.861606242953934
19739	2	5.53118120841573	0.0186804900240525	0.861606242953934
33144	2	5.53017611959315	0.0186912238287774	0.861606242953934
14321	4	9.97062143438408	0.0188175219081357	0.861606242953934
6100	2	5.51449612488663	0.0188595052344496	0.861606242953934
16617	6	13.5228574888166	0.0189419369997916	0.861606242953934
34058	2	5.50195528616298	0.0189952227217688	0.861606242953934
6532	3	7.92155923233417	0.0190482581713031	0.861606242953934
34209	2	5.49483541702006	0.0190727229623979	0.861606242953934
15402	2	5.49408661073694	0.0190808927346817	0.861606242953934
785	3	7.91789543088437	0.0190831846704274	0.861606242953934
3507	2	5.49175129442797	0.0191063951916447	0.861606242953934
36940	2	5.48870858660347	0.0191396754606264	0.861606242953934
25297	2	5.47362697434269	0.0193055204425559	0.861606242953934
27314	2	5.47349143059567	0.0193070176651224	0.861606242953934
31844	3	7.88538339230147	0.0193959364508227	0.861606242953934
26841	2	5.46472010268696	0.0194041617886568	0.861606242953934
18224	3	7.88442543531521	0.0194052289125038	0.861606242953934
22708	6	13.4528191703185	0.0194854423897101	0.861606242953934
8227	4	9.88338030872267	0.019583906299309	0.861606242953934
22544	5	11.711292980967	0.0196324028219774	0.861606242953934
18261	5	11.6981194044723	0.0197431569912178	0.861606242953934
16776	3	7.84155649452177	0.0198256594737401	0.861606242953934
25330	2	5.42657342574382	0.0198325569336672	0.861606242953934
7422	2	5.42453863450189	0.0198556809519496	0.861606242953934
