	junction	gene	strand	multipleHit	symbol	gene_coordinates	bin_spanned	j_within_bin	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	logFC	pvalue	fdr	bin_start_hit	Sample_1.jsum	Sample_2.jsum	Sample_3.jsum	Sample_4.jsum	Sample_5.jsum	Sample_6.jsum	C	D	bin_end_hit	Sample_1.jsum.1	Sample_2.jsum.1	Sample_3.jsum.1	Sample_4.jsum.1	Sample_5.jsum.1	Sample_6.jsum.1	C.1	D.1
reference.5250.5601	GENE06:J001	GENE06	+	-	GENE06	6	GENE06:E001;GENE06:E002;GENE06:E003;GENE06:E004	-	9	3	3	21	19	21	2.21194515850769	1.84744791183839e-09	6.07018599604042e-09	-	0	0	0	0	0	0	1	1	reference.5350.5601;reference.5450.5601	79	57	65	61	48	52	0.0694444444444444	0.274774774774775
reference.5350.5601	GENE06:J002	GENE06	+	-	GENE06	6	GENE06:E002;GENE06:E003;GENE06:E004	-	28	18	30	28	18	15	-0.0984533412858731	0.801738882271631	0.801738882271631	-	0	0	0	0	0	0	1	1	reference.5250.5601;reference.5450.5601	60	42	38	54	49	58	0.351851851851852	0.274774774774775
reference.5450.5601	GENE06:J003	GENE06	+	-	GENE06	6	GENE06:E003;GENE06:E004	-	51	39	35	33	30	37	-0.103360724550123	0.640700966803374	0.669823738021709	-	0	0	0	0	0	0	1	1	reference.5250.5601;reference.5350.5601	37	21	33	49	37	36	0.578703703703704	0.45045045045045
reference.6250.6601	GENE07:J001	GENE07	+	-	GENE07	7	GENE07:E001;GENE07:E002;GENE07:E003;GENE07:E004	-	31	27	24	16	15	8	-0.848282105195336	0.00247065658425295	0.00405893581698699	reference.6250.6351	29	30	30	36	34	28	0.47953216374269	0.284671532846715	reference.6450.6601	43	51	51	46	52	60	0.361233480176211	0.197969543147208
reference.6250.6351	GENE07:J002	GENE07	+	-	GENE07	7	GENE07:E001;GENE07:E002;GENE07:E003	-	29	30	30	36	34	28	0.355708674152805	0.107945555165932	0.137930431600913	reference.6250.6601	31	27	24	16	15	8	0.52046783625731	0.715328467153285	-	0	0	0	0	0	0	1	1
reference.6450.6601	GENE07:J003	GENE07	+	-	GENE07	7	GENE07:E003;GENE07:E004	-	43	51	51	46	52	60	0.341182641319319	0.0450577843510239	0.0609605317690323	-	0	0	0	0	0	0	1	1	reference.6250.6601	31	27	24	16	15	8	0.638766519823789	0.802030456852792
reference.7250.7601	GENE08:J001	GENE08	+	-	GENE08	8	GENE08:E001;GENE08:E002;GENE08:E003;GENE08:E004;GENE08:E005	-	21	25	23	15	6	14	-0.755253754397574	0.0101256934083902	0.0155260632261983	reference.7250.7351	15	12	10	34	42	24	0.650943396226415	0.259259259259259	reference.7450.7601	29	44	33	30	18	28	0.394285714285714	0.315315315315315
reference.7250.7351	GENE08:J003	GENE08	+	-	GENE08	8	GENE08:E001;GENE08:E002;GENE08:E003	-	15	12	10	34	42	24	1.64179154672786	6.07241159492069e-10	2.79330933366352e-09	reference.7250.7601	21	25	23	15	6	14	0.349056603773585	0.740740740740741	-	0	0	0	0	0	0	1	1
reference.7450.7601	GENE08:J002	GENE08	+	-	GENE08	8	GENE08:E003;GENE08:E004;GENE08:E005	-	29	44	33	30	18	28	-0.260973080575909	0.242916871058395	0.294057264965425	-	0	0	0	0	0	0	1	1	reference.7250.7601	21	25	23	15	6	14	0.605714285714286	0.684684684684685
reference.8250.8351	GENE09:J002	GENE09	+	-	GENE09	9	GENE09:E001;GENE09:E002;GENE09:E003	-	20	17	12	4	8	6	-1.21089950281855	0.00186856274309706	0.00358141192426937	-	0	0	0	0	0	0	1	1	-	0	0	0	0	0	0	1	1
reference.8450.8601	GENE09:J001	GENE09	+	-	GENE09	9	GENE09:E003;GENE09:E004;GENE09:E005	-	18	18	20	31	31	14	0.654038273292189	0.0142339147542943	0.020461252459298	-	0	0	0	0	0	0	1	1	-	0	0	0	0	0	0	1	1
reference.9250.9451	GENE10:J001	GENE10	+	-	GENE10	10	GENE10:E001;GENE10:E002;GENE10:E003;GENE10:E004	-	12	8	16	20	31	18	1.14761719770441	0.000155648684333519	0.000357991973967093	reference.9250.9351	18	18	18	10	13	15	0.4	0.644859813084112	-	0	0	0	0	0	0	1	1
reference.9250.9351	GENE10:J002	GENE10	+	-	GENE10	10	GENE10:E001;GENE10:E002;GENE10:E003	-	18	18	18	10	13	15	-0.286415512003182	0.402161924467767	0.462486213137932	reference.9250.9451	12	8	16	20	31	18	0.6	0.355140186915888	-	0	0	0	0	0	0	1	1
